Address,Allocation
0x150b069Ec1d677D032fd70BAabdA01C0Ab74244D,10994
0x431b5DDB0AcE97eBC3d936403ea25831BaD832B6,10994
0xCC178B158b886dBE444E9Bd417B2017aBA6Db775,10994
0x6efEb9e198B03852e556a6eCb1783C6Ce2cB9483,21988
0x8234F5C7a07Dad6416b6086cAba7e11F53EE0Eb9,48770
0x4E49018BB9D8E4cd8E16a4C2f6C4BbC4a6148b03,10994
0x319d116c3074aE7dA02Fa6ee50Ce453fe69d7B58,54574
0xFAB5a241E220F646385d7eDdbb52A1B4F9e83A08,13193
0x4cd6B970F42B41Ee58c2e4B7aB99863d5AE52A23,87952
0x5b683472358BCcD7485a7caabBfdAA8bDC8faAd7,94021
0x5653696Bafb2Fb499A98765Ef2AF7cD07Ece8ED2,43976
0x13C5f79FE6fa9c4923FF4A81Fce4e8cc8Bb22314,109940
0x968D45E7321D9B196C076727e0B0822ddA646Be9,32982
0x97565C8711638EF11dA33bEFa2665A6579eea754,131929
0xfc6cfD79f0bAD4d2b4b1f70Dbd0354d982b9959f,35181
0xe6Ea3DD816EEa2c6D0DE2cD7e7288E438e09D770,50133
0x19eF44FaB8E977b8A7af14aD773c33009bc47c97,43976
0x6cCa27411c2bcF026d5973F98dE573E49b6bE49F,43976
0x2feB0221f1E3A0B20F1796Dc7fC752159e9aD029,659643
0x979c2C91380e07bab34D2F3F38B6A834840A9D90,22032
0x86C4f1983aDa6F36ff56d8892bE6BbAa21dECd90,32982
0x01b23f8cc7FBF107b0F39AA0Ba7C17eBAFb5D618,43976
0xE8B6c1C74bfAA2538b0a48fad1092D1D583194d9,43976
0xCb388ee4D518ec710C8b101f85aC9a9c3c197aE8,418856
0x07BB41DbF8BfEB0B509e3A2aD4B83a43Ed89256c,43976
0x926944BeCEC23ea59d67A63F8b5CCe92E83831d5,87952
0xE0878a84505A33e0beCE816F8d70A0c635CaEf00,219881
0x0a664b77340e7F07dB49f9deA59E8d118fB114c2,21991
