Address,Allocation
0x2f1dDff495400b93E31B24DA6b59C9bE24Da1a2f,15000000
0x511EdcCC9dFdf709369fDE5289474E4b6861019d,9425050
0x22b780e544a11471EbaFf9ae139ED915297d4f8A,7500000
0xD266d61ac22C2a2Ac2Dd832e79c14EA152c998D6,6500000
0xB2A5B7FD847F01F28e4a56074a5dCC57De16A4dc,4500000
0xA3Aa5fBDfba915A271EFc902c6DA2c8c17c20531,5000000
0xA1BdD85Fd30B621893d03Df6a5bACCF8541D20a6,2600000
0x4711377abe91735e8f34ed10a92971b530d1a98c,2500000
0x9f2301960dF3D3c97D891362d716F42e93D35D1E,1650000
0x748af323670C92E4293b999D2709D8Efa54b19E6,1500000
0x3Be33A902F81734985cb63237eA7F17687649713,1250000
0x600eB73Cb462DA9c19235dE1e9a27da827C9c80d,1250000
0xCaBb5F4b431d5026f8Be88e69Fd22272b3891b0b,1000000
0xB91451691e29A6EE96F1a2ae15CDcC4fB2FBdf03,1000000
0xE22A7B0aD9B94cFc823222E5e1e694Cd8AE88ED0,680000
0x1EF85004Bc8a4161f056b1f76C44ED1Db522BDAb,500000
0x0257E3682f4ea047dDf7f5A5e9a96914d681aff2,500000
0xC24054b1B16670809c3b4b536FEdEB0859475064,500000
0xF8Ae0898c54F52aB40ce6d1D05E58d3bcE4D3270,250000
0x2305a370E186A87F3DFFd08C9A0b1F31E9520249,100000
0xb6A46ef97A2082E002087Cb1282c94C12b9B3D93,25000
0x1051C327584C96D9a9351d372Ae4e101e2413d1f,460563
0x5d87c27EA5e3E485938c11a825Aaa0782F663b6b,65974
0xF4Fcb4D9e3dba04a5eF4B4e984D8BFA7962D95A6,87952
0x2C0d00da4Cc0df7303baf92447a04d76171a9383,615596
0xB31a371ED6b52E1871ae6EB6ffb99b8B4FA04CED,43976
0x737D1bE798Efa2278FB46807b2ea3ec36397f5da,10994
0xed857ac80A9cc7ca07a1C213e79683A1883df07B,176476
0x68eccE7D3d75A104854639254F16368D4Dbd938A,122166
0xEA29a51b283eA6C0d3872a5c3dF4ddE3cba94128,43976
0xEf5a9C093e2395249098b032a3E77c1fBa6e427f,10994
0x15e6C7366a17f4b030a58CB7D849ab38EeC32225,11434
0xbD51305f2FF4dBFa58F5D78Ba5112ce7d23ac95F,13193
0x19775E1817BC7a1e41060F80E0d00EabAE2959A7,10994
0x822eAe753f03be87b41382E1b429e22a99A43330,219881
0x69fAa59e22242667bdfa03c6AABEe7cB6a57666c,43976
0x95fE31703a15aeFe22B2D4638EC5Ec03D8e514AA,10994
0x906F3a38d32B848Cdb4224AaB5E703FA792B7B3F,169924
0xbfC367Fc87727Db4Ea264D095de14FF6912979a0,43976
0xe22c86d319875A65c659a65667988441Dec87FaA,21768
0xCaA5506764850C0145b24Ae7384e46846d6110A1,100969
0x962CddbB517c09f0443a7382f416d317949120f7,74760
0x9a8293e2FaCe581699bcb360248a6eb7B191967f,49805
0x2CeFb2804a14cE00d9f1C72ac5f51b247499EE0C,131929
0x2e97778b97DB81b62eb64103813E019F353537cD,43976
0x129955a73Aceb78a4c77dC2B968CE3f9f84Db1c9,131929
0xfA38DF65fACe3FFbA188F0BD2814C2266c3C23d5,37380
0x016d31451231D640fa6E161DBdCf9FEDe00cBC06,13193
0x17C73c8e6e583AfD5A9c7fbbf731d8cA47fc382c,17590
0x55DF5655A1b39BCe83FEdd40a934CAd3C72397DF,10994
0xac2cfF4Eb116A4D492c3BcfC1C629C4f1A24909f,43976
0x66C5EA2F84724454ac99c6480b728De947443c90,48263
0xCc55a0519b4B277917aF51aC6ebc0426eCE276Ea,118202
0xcb68a0567E375Ae427a16b07094922ce6559DEAf,40854
0x1d0806cC30B2987f4b8465f8B97012F5e43e2246,21988
0x0E81e0177215DDF52fE46F3485920fcf01ee2561,704631
0x9D964DA32913BE69eC963e4A7bA8a08A6E1437E7,10994
0x228Fb2db643eF9156a51B4da421d1de527baB03c,109940
0x5B5Bd55e73fCC28b978e4520Aa55d9CF68FD1c91,21988
